,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
0,LTC,1328572800,2142,1590,270533,1403,1615,105025.05289101,42995912.1293254,6135600691.95335
1,LTC,1329264000,1540,1153,281546,847,1174,107427.74701871,45020648.1808664,6561394045.02215
2,LTC,1335571200,1178,917,357857,693,871,35474.41127397,28628820.9263215,5736923582.80904
3,LTC,1354579200,1671,1075,690814,1152,1140,125456.49645261,697201243.745154,189148487280.025
4,LTC,1393027200,32152,11006,3541498,27186,15262,1868308.94809938,81944901318.6634,12330003882679.3
5,LTC,1423353600,19943,6632,5482689,12812,14754,1285896.83837003,1139260949879.36,179976023950015.0
6,LTC,1428278400,13925,3242,5732590,11262,8228,958268.92946952,1109687024015.13,179898794580866.0
7,LTC,1436659200,22642,6578,6141627,17179,15579,13741780.7482391,1313471688705.03,192604074161389.0
8,LTC,1464739200,16300,4382,7353240,14099,8520,10095256.7107552,1076798672897.48,212497265214414.0
9,LTC,1489276800,16791,2890,8258944,9609,11342,1214656.86642505,2468873026502.18,380026011510771.0
10,LTC,1495324800,39665,20031,8952985,32468,28676,2501985.42729996,6805576954243.82,965620852281205.0
11,LTC,1504569600,80317,42330,11842404,67978,53999,10672556.0355802,20152346036463.1,2956097259223680.0
12,LTC,1530316800,87002,31083,31398049,75654,49997,2152113.82135386,302951056200115.0,4.19774429782002e+16
13,LTC,1574899200,57608,27930,48240711,47554,34734,5495978.59279312,151658510393625.0,2.49601963353592e+16
14,LTC,1585872000,47966,21075,51997052,40029,28770,3291936.32614729,140168709478652.0,2.15750071970486e+16
15,LTC,1606348800,112969,49817,61337033,96844,79559,7527073.54776873,207601355026278.0,3.31433273578625e+16
16,LTC,1319760000,2284,1819,40092,1590,1971,95378.56036846,4444754.97712478,807038110.340224
17,LTC,1335916800,1737,1067,362198,756,1433,226212.07764192,35932249.1125939,5429290005.27284
18,LTC,1337385600,1216,1013,379151,717,920,31752.33661781,28673923.9328216,4204255205.35572
19,LTC,1343433600,1969,1416,470610,1160,1587,155482.79196264,156955365.026337,35938903149.9194
20,LTC,1357084800,1354,1043,730136,945,875,65080.04667071,844145059.872884,147411166491.685
21,LTC,1388188800,31423,12088,2814279,27682,13702,10299943.4448624,93878764255.181,12238708272586.6
22,LTC,1466208000,16313,3870,7424318,12133,10145,9594758.09750283,1412228290968.02,190044327440996.0
23,LTC,1491350400,24584,12245,8396734,20466,16575,19761182.4828757,2774747779010.21,399248157018653.0
24,LTC,1517184000,157970,75229,24634541,133998,95590,6673664.26350927,123142473832568.0,1.72287405972973e+16
25,LTC,1522713600,113564,37977,28220140,93540,64859,2799992.82411273,194922230071586.0,2.92170566069964e+16
26,LTC,1537228800,82665,31640,33887907,71379,48974,2317075.99932148,269303470076951.0,3.73510592839959e+16
27,LTC,1538179200,84684,32425,34261220,70349,52570,2114394.35152833,241234595133923.0,3.82684983288001e+16
28,LTC,1542758400,89257,33039,35882679,66754,64033,4804032.66296226,205216562667630.0,3.21432567711424e+16
29,LTC,1556409600,64694,25580,40735515,52002,41724,3743861.84502467,326566174335736.0,4.83975528606849e+16
30,LTC,1590105600,79613,39221,53547306,58062,61041,3108273.37483622,199668602714784.0,2.67268923309333e+16
31,LTC,1590710400,82053,41425,53801137,61403,62054,3157156.44786657,231343802819499.0,3.22572111429735e+16
32,LTC,1599868800,111141,40556,58350831,97221,73499,2402919.30942769,278636246898604.0,4.41748776920076e+16
33,LTC,1603756800,143539,40801,60090263,126844,84835,5046744.41627386,184051779264288.0,3.7139847150002e+16
34,LTC,1609718400,150619,69245,63294148,126662,103722,11736335.2675151,274124642968151.0,3.81920517062874e+16
35,LTC,1612656000,179950,80987,65792059,147753,129788,14960388.8895683,303011268637995.0,4.3849187747466e+16
36,LTC,1614556800,249460,94066,67946705,205978,162201,22915477.2239851,294254955983848.0,4.26130630879064e+16
37,LTC,1323475200,1556,1248,201084,1007,1265,67777.76945509,24859655.2265367,4113685189.82447
38,LTC,1352764800,2762,1737,656800,1641,2040,564742.40789484,548192455.10348,79383251066.7576
39,LTC,1372982400,9925,4097,1637765,8323,5412,1407765.92929216,22982036335.3694,3905420026162.41
40,LTC,1374451200,9250,3860,1710298,7635,5216,1207561.14822201,24792680491.5061,3840551887734.62
41,LTC,1392940800,31471,11398,3530492,27216,15158,12712202.6610679,91558886801.1864,12330003882679.3
42,LTC,1404691200,18655,4958,4621305,11186,12437,16557506.2263935,523997688757.799,71231489192488.7
43,LTC,1405814400,14562,7670,4691845,12857,8576,5551118.00563814,582338332586.055,95129971938923.8
44,LTC,1412553600,8825,2972,5008884,7606,4954,2578026.08908165,1029677296523.83,158962303617908.0
45,LTC,1446681600,14202,4791,6502050,11415,9356,12157103.7493544,1450227921137.29,212916682234298.0
46,LTC,1454112000,36486,7824,6868286,29508,24820,2975066.42806948,1374692048021.86,239620464507714.0
47,LTC,1462320000,13368,3354,7239604,8882,9611,3993174.146893,1305645943920.85,218123220077485.0
48,LTC,1500940800,45588,26545,10512778,38577,32802,16042893.3005373,10935494844959.0,1681424594580330.0
49,LTC,1554422400,77794,33873,39909979,64276,49308,5254393.21643872,330048465303089.0,4.90332519133988e+16
50,LTC,1569974400,54608,25290,46630530,44609,33446,1550463.11833045,282156219709429.0,4.45827535854271e+16
51,LTC,1572825600,82117,28138,47540952,68179,36776,3985246.3857216,176879090493600.0,2.81003649206229e+16
52,LTC,1572998400,73685,33688,47624241,59119,50928,4237977.15395428,195782080427274.0,2.74429146560877e+16
53,LTC,1587427200,78572,33892,52489766,68718,40176,2053127.74248112,174055718737578.0,2.4953865310771e+16
54,LTC,1591056000,122692,40261,53952347,77132,95552,7018331.43742547,233714576968654.0,3.72438319263972e+16
55,LTC,1326067200,891,610,237440,601,611,24810.88338909,11860170.1538115,5201727592.23374
56,LTC,1326412800,2159,1844,241900,1069,1842,97100.80557257,31057733.737699,2793310062.35595
57,LTC,1334966400,1074,838,351197,525,811,36400.31093391,36655461.628894,6946463024.26851
58,LTC,1343088000,2204,1792,464690,1508,1658,151536.18941516,154899871.888184,30691985248.0056
59,LTC,1389916800,30090,10261,3072694,26878,11968,5045116.86714793,119323167459.849,16886071398968.4
60,LTC,1412121600,30820,4382,4994325,29765,6053,1577198.55012384,1080687262101.3,151820238339557.0
61,LTC,1420243200,12000,4721,5263933,10435,7285,12551485.7475357,1550147942952.22,229759392655417.0
62,LTC,1429142400,10208,3368,5774389,8045,6266,2545336.48680792,1226336955396.91,178330071526806.0
63,LTC,1438300800,9923,2817,6211960,8358,5998,4620533.75256233,1381489083003.56,198982380466138.0
64,LTC,1440201600,18721,3394,6279574,16795,9401,4472179.90427092,1238413776754.99,195202728057787.0
65,LTC,1458000000,16997,3210,7035716,11709,11858,3583756.10165472,1474965095234.09,217042741484090.0
66,LTC,1482278400,8338,2818,7969806,6976,5465,3956668.43281169,1777409143378.52,297279054305859.0
67,LTC,1509926400,67220,28652,13840644,56073,39806,38763451.6861877,28229236936142.7,4437687758567630.0
68,LTC,1515628800,293239,185929,22635348,253838,223633,9376858.49485297,106541576438957.0,1.57236853636853e+16
69,LTC,1546560000,73219,28329,37170173,57077,51362,3677746.04993815,177166690099653.0,2.56876787623445e+16
70,LTC,1593907200,63137,33872,55205816,54658,45996,2525355.09512986,258850955934935.0,3.72007028877637e+16
71,LTC,1606608000,93208,38651,61460847,80185,60801,7482082.27850403,219896757643756.0,3.17126192861117e+16
72,LTC,1619568000,300243,117872,74516130,267811,165365,8909319.15941953,314541899154359.0,4.6889559484819e+16
73,LTC,1620432000,323200,135993,75843274,279812,193105,8145806.55039598,365184751961782.0,5.3978949582502e+16
74,LTC,1621900800,355212,104305,77960836,318825,176570,13205817.4413799,362773761411608.0,4.81267648975317e+16
75,LTC,1320105600,3363,2834,49914,2250,2945,426821.20100573,8275318.02248039,871024455.416418
76,LTC,1323302400,1809,1393,198674,1182,1487,116432.86915058,21026026.8722979,4113685189.82447
77,LTC,1334361600,1558,1003,344587,721,1306,184428.5158427,43127565.7328351,7427646965.12363
78,LTC,1337212800,1404,1066,377147,803,1084,62586.29202006,28602087.097355,4966486955.98264
79,LTC,1359072000,3466,2386,761893,2711,2278,162348.95925137,576915825.422281,88127624359.8025
80,LTC,1360281600,3272,1741,783217,1793,2582,277580.86498892,586905193.447809,88183491441.037
81,LTC,1365033600,16000,11257,992193,14298,12199,1294557.05886992,5818830227.87727,657851921578.886
82,LTC,1388016000,37680,15358,2788406,32217,18164,28466630.3169439,83306664623.7209,12238708272586.6
83,LTC,1390521600,37544,15815,3166073,32222,19142,13955662.3787418,75768294127.4058,13443591387114.7
84,LTC,1408320000,12756,5385,4841081,11039,8167,35135204.76062,754524327833.478,120662117903497.0
85,LTC,1422662400,21879,15637,5409580,20409,7267,2663485.84141496,1148109505127.46,184928797268472.0
86,LTC,1423094400,10131,3964,5467948,8789,6274,2380553.74950327,1133040300925.76,182045244685459.0
87,LTC,1437868800,20617,4995,6195055,19102,10274,4875316.44081914,1271543109821.76,195639557512439.0
88,LTC,1446249600,22480,4354,6477991,20456,11355,11314786.6681338,1357767300925.13,215438171971700.0
89,LTC,1449878400,23171,5120,6643234,20706,12627,13889057.4510881,1460388144985.19,207622882276443.0
90,LTC,1450483200,21419,4200,6675489,19896,8472,2431298.66898429,1551335323110.92,216018439435701.0
91,LTC,1479513600,16769,2967,7890924,13811,7010,3430532.69031918,1730270883172.67,251297086012299.0
92,LTC,1497225600,44861,23393,9425142,38407,28145,11869846.616613,6744360236056.32,847436247996501.0
93,LTC,1499990400,55145,28127,10229289,47791,34636,12121150.505754,7779034161879.05,1182248556961980.0
94,LTC,1500336000,57656,29113,10336805,45743,40056,12025986.0694341,9724524977946.01,1318482233226590.0
95,LTC,1503187200,53801,23185,11217932,43145,32540,3319729.77192258,13455185966067.3,1914958913381540.0
96,LTC,1510272000,79598,40972,13998576,68815,48532,32801491.9249866,33616452989690.3,4433130208064010.0
97,LTC,1522368000,107749,39055,28089392,93223,59903,4412075.15763032,191013932520786.0,2.7476766213456e+16
98,LTC,1553385600,59178,23806,39498780,50440,36709,2653602.70025144,272151824937832.0,4.04649011171764e+16
99,LTC,1575676800,53210,26168,48479993,44091,32882,2356250.92262186,162560168634177.0,2.40918638923923e+16
100,LTC,1579392000,59309,27874,49793504,46556,38234,2708440.7886576,168818131992992.0,2.37984086261363e+16
101,LTC,1606780800,209954,55817,61564995,116187,165827,8028292.36037588,232383093866637.0,3.17126192861117e+16
102,LTC,1623974400,316399,90270,80211591,286094,137028,7891921.29481501,295015824194618.0,5.25207080764251e+16
103,LTC,1338076800,1432,1172,389254,920,1039,58168.07717868,28269443.6511682,5122305400.24313
104,LTC,1354665600,2637,1008,691822,1081,2093,229063.42666643,649361171.046963,189148487280.025
105,LTC,1361059200,2961,1982,800847,2114,2133,196270.88906618,487940456.792682,68603671728.2189
106,LTC,1373760000,8715,3577,1676582,7292,4691,4453295.93720351,24900781566.455,3964879391619.89
107,LTC,1374969600,7940,3251,1732423,6904,3891,1540489.40069369,25241558851.6857,3921246816959.54
108,LTC,1381104000,7687,2811,1984223,6397,3846,278268.90662483,29569261854.7071,4470613613952.55
109,LTC,1419120000,8429,3076,5223641,7309,4739,1818366.88157029,1472229470827.64,232519413090805.0
110,LTC,1423440000,19079,8801,5491490,16158,13567,3117186.78982987,1046008985879.55,179976023950015.0
111,LTC,1429401600,14685,4304,5786585,11228,9889,2390279.83121658,1095680232302.0,173814982037868.0
112,LTC,1435363200,29491,9049,6043670,27863,16765,6546654.43975005,1090364456315.89,170374643010371.0
113,LTC,1450656000,15604,6249,6685815,13093,10182,8238573.49833163,1457519315127.7,224098726811148.0
114,LTC,1459987200,19543,5390,7142136,16287,10196,3920626.79866834,1570143929871.51,239452497517172.0
115,LTC,1492560000,19455,8755,8495898,16690,12977,2184614.85099945,3940811213147.03,439232864222036.0
116,LTC,1530835200,86926,30523,31579434,75526,48340,2919075.30896578,274767121777427.0,3.96531566485482e+16
117,LTC,1536796800,85533,32145,33737097,71901,52701,2323716.98956169,255031758550341.0,3.7732472715383e+16
118,LTC,1569196800,101642,64794,46311516,86839,76439,4986769.93231125,314499420601096.0,4.81871695147461e+16
119,LTC,1585267200,50751,22608,51846672,41898,31263,2175340.65382314,140975499892928.0,2.10203933411778e+16
120,LTC,1589846400,93386,41567,53431797,77808,65272,2431968.74121525,163624349961188.0,2.86720972997912e+16
121,LTC,1620604800,439410,166805,76136289,370059,250605,15731660.3595936,356866057975259.0,5.3978949582502e+16
122,LTC,1351296000,2240,1464,630152,1496,1590,510175.50398637,571897373.022218,98954370458.7748
123,LTC,1358035200,2047,1159,743776,1171,1517,124525.21835183,667051603.34703,102232010314.926
124,LTC,1359504000,2504,1707,769487,1701,1866,124753.16414196,525347026.461901,87248246445.666
