,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
0,BTC,1237766400,0,130,8534,0,0,0.0,6408633.08020752,4294967296.0
1,BTC,1259712000,0,94,28702,0,0,0.0,4651124.69556001,4294967296.0
2,BTC,1271548800,3233,3345,55456,3114,3202,37121.01,93656971.7636913,33585772347.8138
3,BTC,1286841600,494,402,125783,292,367,78073.95,10564678392.3611,5918585901802.21
4,BTC,1300147200,3187,2446,305232,2737,2421,121518.66643037,422100615321.079,327244808294148.0
5,BTC,1328572800,14491,6760,3003256,11171,8357,314346.03231177,9242529191837.56,5925540631435540.0
6,BTC,1329264000,17470,8949,3063639,13916,10255,1338077.99377436,9388271431757.97,5925540631435540.0
7,BTC,1335571200,15491,7035,3572531,11888,8596,881640.52974325,10885921259812.7,6479343304582330.0
8,BTC,1354579200,42093,20431,8107742,28462,28705,2486330.3415983,18836498901107.3,1.47700015178049e+16
9,BTC,1393027200,153118,83684,28701730,132800,104030,397298.65534548,2.69073444505236e+16,1.34414144350121e+19
10,BTC,1423353600,292215,108857,63688847,266553,149441,638824.36727385,2.69084672529665e+17,1.77265643589656e+20
11,BTC,1428278400,248717,128877,70963376,206788,169251,741467.67300043,3.05820698699579e+17,2.12370630911236e+20
12,BTC,1436659200,318924,163128,84915150,269977,205656,1261630.77944138,3.4015745595392e+17,2.19371322871971e+20
13,BTC,1464739200,508349,241984,151046579,411404,320664,2348335.86921763,1.40653495357467e+18,8.56038811744832e+20
14,BTC,1489276800,594454,279055,234549766,422462,397310,1199731.13770861,3.53949603890671e+18,1.97898932399853e+21
15,BTC,1495324800,791567,433041,261108312,608689,494394,2310633.08278587,4.11843961996967e+18,2.40505667167807e+21
16,BTC,1504569600,784405,405938,300162594,601560,509759,6490405.6341197,8.72830737000862e+18,3.8146690758528e+21
17,BTC,1530316800,567354,241501,409332478,368026,408518,736434.7687941,3.56553834615319e+19,2.18076923002769e+22
18,BTC,1574899200,703993,371916,584004503,533003,458068,762824.33477005,1.07198653818441e+20,5.57196242092859e+22
19,BTC,1585872000,754391,385206,631736122,548301,488626,974806.90958074,9.11702883341977e+19,5.97538357950362e+22
20,BTC,1606348800,1119867,525787,741765110,736598,703406,2283190.70572137,1.32195071653178e+20,7.55776850650775e+22
21,BTC,1242777600,0,120,15254,0,0,0.0,5944317.1655287,4294967296.0
22,BTC,1250294400,0,26,21420,0,0,0.0,1299264.08637781,4294967296.0
23,BTC,1319760000,12512,6553,2392308,9729,7667,448026.85201245,7456663000453.55,6305851344050220.0
24,BTC,1335916800,19738,9425,3607048,15022,11690,1076433.63011659,10931787457397.1,6479343304582330.0
25,BTC,1337385600,31204,20942,3832020,26361,24028,1225138.18060273,12745815641847.8,7444069589160280.0
26,BTC,1343433600,38226,24063,5228700,31012,23993,1734511.66808477,13888140769207.5,8016089616527540.0
27,BTC,1357084800,42904,24208,8751648,34064,25565,1943439.17563531,22457575086057.6,1.27974418237131e+16
28,BTC,1388188800,114541,58176,24616738,93621,77546,610528.47665744,8699873932626150.0,5.07202650272104e+18
29,BTC,1466208000,561720,244420,155151215,425958,361153,2336066.01654126,1.53527226554993e+18,8.42077403827988e+20
30,BTC,1491350400,745782,401807,243117213,577197,490351,2293399.55133283,4.02905597292631e+18,2.14591997846914e+21
31,BTC,1517184000,778138,342142,367258231,532605,496910,1939053.10157389,1.91212748282548e+19,1.11801318733988e+22
32,BTC,1522713600,594093,286343,384906974,435394,392564,1312799.67861381,2.8252478225601e+19,1.507989024898e+22
33,BTC,1537228800,638226,338355,432847884,479297,441316,1026735.02102032,4.9584261746734e+19,3.01472311420143e+22
34,BTC,1538179200,552193,291110,436429273,429805,366674,751772.06013005,5.45839082803718e+19,3.07203263267169e+22
35,BTC,1542758400,628170,309582,453572842,472544,411396,1308015.76640151,3.47717063076235e+19,2.85757194027127e+22
36,BTC,1556409600,594392,302136,505128443,445719,375355,860532.3215647,5.00610906223973e+19,2.72860584985047e+22
37,BTC,1590105600,797305,419949,652633976,579828,484937,986235.63007718,8.39480681938101e+19,6.50174006716546e+22
38,BTC,1590710400,851432,430118,655533392,591008,551132,1046787.62100207,9.43400804937977e+19,6.50174006716546e+22
39,BTC,1599868800,900116,440432,705510600,604521,594145,2592616.11703944,1.46422232676301e+20,7.45004932929532e+22
40,BTC,1603756800,827571,433878,727068474,600320,449088,2502875.59377913,9.77783432368958e+19,8.58879041032697e+22
41,BTC,1609718400,1274837,612801,761722064,851652,804714,1921331.56586535,1.58212766745824e+20,7.98846438613553e+22
