,coin,time,addresses_active_count,addresses_new_non_zero_count,addresses_count,addresses_receiving_count,addresses_sending_count,transactions_transfers_volume_sum,mining_hash_rate_mean,mining_difficulty_latest
0,ETH,1464739200,17471,2216,247506,16004,7608,787919.481614185,2933851746159.95,42217059433525.0
1,ETH,1489276800,26279,7282,914497,23553,16456,24131469.1555749,12175042542762.4,173633970826157.0
2,ETH,1495324800,60677,23703,1713630,52030,34115,12858856.5265743,28381139743139.1,456109491555078.0
3,ETH,1504569600,195551,54507,5884518,154612,98296,15510063.1841353,91800100777612.8,2308486055401950.0
4,ETH,1530316800,247996,55275,34322047,174760,95647,1241162.02281098,235658070583496.0,3498777972256250.0
5,ETH,1574899200,216662,44247,62288189,116735,74341,2053028.42799231,165228847813405.0,2561327360776590.0
6,ETH,1585872000,266696,66577,69706469,146028,98726,2202461.22431172,168037048409583.0,2226923125507080.0
7,ETH,1606348800,415748,99154,91900964,238214,183258,4938484.65363494,265957175714178.0,3595412810025190.0
8,ETH,1466208000,24486,4437,295092,21167,11619,5143518.02755798,3111181220786.91,45976914062431.0
9,ETH,1491350400,35431,8842,1158364,29998,22654,12184027.3033576,17052461793548.3,253356954000681.0
10,ETH,1517184000,446137,136271,21704636,354572,223782,7892582.05035237,177561478609899.0,2649263064742210.0
11,ETH,1522713600,295636,67080,27227653,218573,128419,1664784.18321027,217245206043501.0,3129883721285950.0
12,ETH,1537228800,224345,36410,38682897,152511,88737,1815890.46757691,219422533374905.0,3050801303991540.0
13,ETH,1538179200,199983,32063,39097046,140903,80682,1425933.30544537,230388190932199.0,3209203534861900.0
14,ETH,1542758400,233937,45312,41486707,160906,101076,3815790.54287486,197984269823683.0,2871683872088710.0
15,ETH,1556409600,220006,48163,48622474,146087,97177,2329010.2432106,139344668192301.0,1884500719407040.0
16,ETH,1590105600,335941,104519,73831495,205712,135385,1853060.90661353,165838437851046.0,2195512758305720.0
17,ETH,1590710400,372442,101220,74529399,210559,166798,2584676.7947817,169331208949178.0,2260626186866330.0
18,ETH,1599868800,310432,70489,84851795,176812,126617,4249966.67339968,234667787167097.0,3091652786427230.0
19,ETH,1603756800,384836,93064,88688413,206194,161581,2703483.93355981,249289973396060.0,3260423693384510.0
20,ETH,1609718400,513954,140493,96125475,335195,240569,7549099.27229704,291089941472671.0,3933349149863970.0
21,ETH,1612656000,503706,146341,100777138,322624,247871,2924829.75638071,365775224098517.0,4944351839531150.0
22,ETH,1614556800,491391,130777,104065539,287471,243910,3320086.6024057,401816003867759.0,5285090246230200.0
23,ETH,1446681600,1911,158,27937,1736,1247,344177.214608943,447759424560.094,7645085287936.0
24,ETH,1454112000,4335,957,47472,4091,1944,989806.247163256,631328870296.118,10808399163929.0
25,ETH,1462320000,14505,1583,168410,13570,6468,1084648.36546642,2363732565097.67,34260186346568.0
26,ETH,1500940800,114825,28810,4058163,96701,56353,23153872.9004341,72022464509212.4,1348393924545310.0
27,ETH,1554422400,252322,49545,47257016,146615,126478,2689652.40213554,135419962089373.0,1850877742693750.0
28,ETH,1569974400,249606,47389,59225371,128706,92396,1241985.95922205,176891010587088.0,2406147297917480.0
29,ETH,1572825600,237572,47238,61007562,131131,83835,1787952.42378833,172305722714814.0,2471638513800040.0
30,ETH,1572998400,248491,59180,61126984,137040,80504,1349647.07435729,176740508240479.0,2448807797207040.0
31,ETH,1587427200,307535,86041,70971679,172132,126180,2129461.00492369,166185254838441.0,2209692591989980.0
32,ETH,1591056000,387293,114617,74944225,228795,168932,3730634.48277603,172439109548868.0,2402390071536380.0
33,ETH,1438300800,0,156,9359,0,0,,46799991645.4346,823192697153.0
34,ETH,1440201600,1413,228,16960,1233,833,494463.255099498,294127490360.094,5127285198053.0
35,ETH,1458000000,10362,1761,107376,9501,4759,1289685.15417005,1215375125403.31,17742534216664.0
36,ETH,1482278400,15826,1742,701084,14480,8414,2078876.49884082,6327045973170.28,90079937761665.0
37,ETH,1509926400,174732,47725,8551654,132235,75839,9640623.64720283,102783735289936.0,1430307957285040.0
38,ETH,1515628800,646356,285711,18363539,525735,353714,15772247.562387,130371707547075.0,2123562013292740.0
39,ETH,1546560000,226922,41017,43405144,140578,98020,3821786.07747495,166509815069699.0,2593680172248720.0
40,ETH,1593907200,342832,82965,78101189,181289,168162,1011067.50938167,178591464995200.0,2380203003532150.0
41,ETH,1606608000,438952,84170,92164555,179354,236882,1750715.37105274,272265367033240.0,3512632925168140.0
42,ETH,1619568000,648025,191910,113367112,409716,343737,3464425.54299478,545322871512774.0,7206932237868680.0
43,ETH,1620432000,754316,244619,115049369,537752,315722,3335840.72093648,567439712297836.0,7606042753545430.0
44,ETH,1621900800,553898,111025,117792264,280367,258457,5127498.21089661,579048935400496.0,7759426774017470.0
45,ETH,1446249600,1976,348,26448,1854,1204,276417.565732628,462390375678.877,7702128773721.0
46,ETH,1449878400,2152,394,33092,2018,1484,484608.036134611,472492826792.84,8199892334120.0
47,ETH,1450483200,2187,115,34078,1803,1514,227869.063826137,508206214024.377,8670737675440.0
48,ETH,1479513600,15527,1505,638529,14382,7206,860708.716478056,5114376771465.0,75928753198475.0
49,ETH,1497225600,143038,53155,2461779,115977,87611,26008330.0611095,40970903444606.5,695979759645832.0
50,ETH,1499990400,115928,29515,3748525,97138,56441,25092129.1344698,61568290790089.4,1195275572044580.0
51,ETH,1500336000,124659,31757,3862564,103738,65045,26518951.4899012,63866215761764.2,1202245724479850.0
52,ETH,1503187200,142439,36228,5087160,106187,72355,10083491.4535793,86123252119726.9,1748396035303190.0
53,ETH,1510272000,188493,64927,8776129,148580,90250,13527207.1972806,104169268389592.0,1484002291205890.0
54,ETH,1522368000,302697,64644,27012431,217472,141191,2317808.45975035,220607288064118.0,3239377086382440.0
55,ETH,1553385600,202033,46787,46553102,130949,87804,1773236.54400101,137396854238567.0,1830905741695040.0
56,ETH,1575676800,182090,36377,62727191,98828,62206,753111.919988481,167400465889181.0,2518809087922040.0
57,ETH,1579392000,216565,41565,65584415,109997,88809,1180124.07069518,157161345266675.0,2137687197971520.0
58,ETH,1606780800,435858,107114,92373707,238014,185128,4035320.11702914,278431358263192.0,3763687786072010.0
59,ETH,1623974400,468411,89606,120276190,235114,224030,2655329.39132767,555689598749597.0,7176752396637720.0
60,ETH,1450656000,2312,124,34335,1874,1527,234198.553986808,490352726259.798,8630936578890.0
61,ETH,1459987200,11746,1057,136281,11206,4732,724040.920238819,1697538599126.0,25331165732156.0
62,ETH,1492560000,34289,7828,1255372,29946,18752,9505206.95854231,19091543597131.3,277524262565510.0
63,ETH,1530835200,215491,34269,34534156,165152,88401,1577459.37758411,237437955411154.0,3503554391121650.0
64,ETH,1536796800,265172,45351,38499022,172304,111397,2339540.55071877,211874031619009.0,3071910365395510.0
65,ETH,1569196800,231699,46506,58767503,139854,84086,1782081.96636716,185799479046067.0,2600730607084780.0
66,ETH,1585267200,295685,60049,69283378,134128,119609,1713499.24139916,166860421948446.0,2242415339178320.0
67,ETH,1589846400,323997,92041,73534131,190914,135642,1579621.71490232,165713221091569.0,2252879281887490.0
68,ETH,1620604800,759123,248454,115540228,539665,333270,4904199.56093388,575129409767346.0,7842590536244160.0
69,ETH,1441152000,1514,138,18844,1385,868,277552.50871102,342955046043.434,9388467648838.0
70,ETH,1460505600,12899,1176,142500,11989,5360,1137998.57658515,1895340876900.16,26698904370237.0
71,ETH,1467763200,18924,2246,335390,17896,8021,1061766.91770774,4017642955808.5,58251042014222.0
72,ETH,1511740800,260656,93015,9913090,199564,137182,19737522.3334863,108218238906327.0,1517434346884610.0
73,ETH,1518998400,354249,93227,24081140,270597,157406,3802703.32413488,203149936077911.0,2974986082614460.0
74,ETH,1538611200,267083,39892,39287858,163735,92445,1596886.12565984,231920620210766.0,3320089904238440.0
75,ETH,1539043200,253648,38412,39498383,150239,92022,1419623.20950842,233957288760714.0,3277159624382240.0
76,ETH,1602201600,372579,81994,86925617,190853,170005,3197247.30846744,244385272331971.0,3327016078224460.0
77,ETH,1446163200,2208,488,26100,2052,1285,1209372.46419774,449644121306.679,7665556270422.0
78,ETH,1466121600,26354,7279,290655,22291,12521,4205505.53308347,3268714290093.75,46454862651995.0
79,ETH,1478908800,16049,1736,626049,14589,7994,1242507.66742589,4256020196738.96,61403838085464.0
80,ETH,1480809600,16946,2856,671069,12844,8996,1692306.57754095,5236147575908.86,75479406896244.0
81,ETH,1486425600,16512,1844,808803,14911,8368,1276061.06491452,8286351857470.71,119984127821848.0
82,ETH,1496016000,69562,25500,1952618,59541,38846,10426244.0112749,31461241687651.3,506428137628108.0
83,ETH,1504483200,204530,55711,5830011,151456,111245,16064728.2645374,91525880828922.4,2211465685251720.0
84,ETH,1508112000,144220,43385,7555453,113091,69418,7406491.25435559,101143417616106.0,1503063021974290.0
85,ETH,1508889600,154253,41890,7977376,122333,76485,10166700.6375464,106044107940756.0,1486814421033490.0
86,ETH,1510531200,181225,55784,8943955,140907,89744,11218866.6309699,104909533285490.0,1487277721726780.0
87,ETH,1513555200,468630,177065,12722618,375431,222145,8675116.04347824,119313628189565.0,1746670586395920.0
88,ETH,1536019200,296656,49077,38101985,171056,124538,2918734.24167464,234647030976252.0,3392905033652560.0
89,ETH,1584748800,389114,92741,68870795,164916,90200,1685189.53200267,166073809528005.0,2274450202851680.0
90,ETH,1588723200,314809,84834,72339636,174392,143734,2189316.30346693,170184143735892.0,2257332693012950.0
91,ETH,1440460800,1576,212,17649,1389,928,406454.710412514,304941030619.328,5416196196676.0
92,ETH,1457568000,9809,2374,98382,9140,5366,857303.9261851,1082624584189.15,18775256745910.0
93,ETH,1493078400,33686,7082,1297327,29399,18606,7856804.45994993,20350984734556.2,307539577745486.0
94,ETH,1521936000,239379,48111,26708923,180164,100067,987629.576251129,227448832247229.0,3297255188199430.0
95,ETH,1524441600,398853,86411,28736035,266964,175781,3082879.58435462,212544510061974.0,3215903209010130.0
96,ETH,1570233600,227331,49260,59364673,127710,74292,859057.251630737,177905918276230.0,2458656775609240.0
97,ETH,1575936000,225919,48286,62859057,119544,69416,1553897.16347862,169230065038661.0,2642255370698530.0
98,ETH,1594512000,370430,97024,78816552,199716,174064,1229383.40733433,182014165840746.0,2427062073443530.0
99,ETH,1594684800,416889,117375,79041793,247607,182066,3177589.63525886,178492074184944.0,2376143856412370.0
100,ETH,1611100800,494324,125573,98279924,277958,239836,5756336.67383592,324886486531385.0,4410732264307910.0
101,ETH,1483833600,15423,1984,746847,14393,7518,2502133.90197167,6639890719442.8,95895023937257.0
102,ETH,1486944000,18332,1963,819649,16548,10795,1204585.00174454,8950446075032.49,131103400013402.0
103,ETH,1505779200,162817,48664,6566074,126677,83741,14702360.9326654,99885272765452.1,2423950980872860.0
104,ETH,1531008000,266212,39580,34605332,178845,104751,1266990.54620473,227570290876092.0,3496493329015490.0
105,ETH,1541808000,237237,45986,40955491,149337,85187,1106363.53923448,212055437101222.0,3036735690479160.0
106,ETH,1543276800,223427,38445,41742633,146854,102940,2841258.94888817,174331424304901.0,2436311797232650.0
107,ETH,1545350400,240591,48798,42819626,155847,101592,4478637.08538469,152740054345738.0,2230756110238780.0
108,ETH,1580688000,235763,42029,66160233,114064,108373,1315653.02395709,157252926778089.0,2078412662213280.0
109,ETH,1582156800,251714,51525,67116689,130995,102339,2265546.37592915,170137338521242.0,2287448820158850.0
110,ETH,1591488000,316266,90170,75450784,193690,127178,1130968.22052359,177004038290039.0,2360754988337570.0
111,ETH,1603065600,394625,89222,87868529,202182,159182,2212220.44567285,253792417365499.0,3348254676002900.0
112,ETH,1609804800,507048,134811,96260286,308945,234848,4720089.78261557,291924031579711.0,4026243698231540.0
113,ETH,1453334400,2900,341,40660,2720,1500,495019.11781695,551234113320.587,9712403494572.0
114,ETH,1459468800,10943,1033,129920,10405,4545,382112.249867813,1670747166343.63,24637619774037.0
115,ETH,1463270400,16064,2383,189608,15223,7791,1469667.28725907,2582559551050.92,37144077640852.0
116,ETH,1487894400,19618,2498,843253,17818,10356,5121345.57870879,9749983658028.58,139004160760978.0
117,ETH,1514937600,629392,307508,16017821,539409,328470,13975588.8507884,122026387168860.0,1903558744072510.0
118,ETH,1524873600,334905,65050,29125249,238389,128569,1790756.78374061,206679811137982.0,3045379341411890.0
119,ETH,1542067200,248555,44950,41103088,160902,97553,1700654.1272288,213798262884570.0,3077551741860760.0
120,ETH,1548201600,213264,42036,44214143,135742,85947,1974562.15457989,158968304606634.0,2765562307773200.0
121,ETH,1551744000,226692,42436,45683276,137009,95812,2330491.6340802,141523992422914.0,1972133186158840.0
122,ETH,1561593600,322803,90037,53554225,210802,152992,3655119.94297659,160109749073786.0,2146889490912640.0
123,ETH,1593648000,405200,97485,77834784,214248,187673,1804609.4970446,175753502133022.0,2388752306292520.0
124,ETH,1595030400,361487,92603,79440561,212744,172755,1328639.50564066,181321925209174.0,2471620674088140.0
125,ETH,1596153600,423534,111515,80790718,253512,192701,3334772.06782558,179506924521819.0,2431257123192920.0
126,ETH,1618704000,600758,194855,111282286,419254,291312,5495776.02163127,507216685943299.0,6845629501198670.0
127,ETH,1439164800,997,649,11543,749,804,1670883.90856051,111643071601.253,1948102094734.0
128,ETH,1443657600,1472,83,22085,1316,931,538499.154235002,340489973619.636,5922281950460.0
129,ETH,1463616000,18314,3771,202020,16809,9014,2654202.42401273,2748023535112.2,39462878552522.0
130,ETH,1477440000,18388,1618,592880,16724,8701,931704.972015143,7387769875551.34,106422921833743.0
131,ETH,1498089600,144497,48081,2934422,115568,78629,8279523.94936892,49893810228683.8,900264757920511.0
132,ETH,1517443200,483961,151705,22148105,382728,274471,8200733.6498444,178283833460690.0,2683914918690180.0
133,ETH,1524960000,309662,65101,29190350,221289,133429,1655556.92869695,215355815138797.0,3240533766128740.0
134,ETH,1533772800,262265,49962,36744271,189854,124231,1607235.725057,247351691398876.0,3651150037548560.0
135,ETH,1544659200,222198,42657,42432664,145840,93242,2988486.10923001,156465375945860.0,2267275765463760.0
136,ETH,1545091200,221969,41354,42674531,148858,94784,3221973.34732511,150497545698430.0,2259818116209030.0
137,ETH,1460678400,11835,799,144251,11412,4546,591119.841806136,1984157715155.39,28698213125810.0
138,ETH,1461456000,12690,1025,152534,12198,4992,375207.187093082,2117868254334.7,30184556615651.0
139,ETH,1468108800,19159,2124,344201,18393,7242,664293.225944167,4088868335512.52,60008766210732.0
140,ETH,1496275200,95595,34727,2060224,76222,59306,16558776.2199752,34216055857604.7,588681798151904.0
141,ETH,1511308800,220795,71122,9537543,172288,116386,16656469.0437757,105610377470032.0,1520862847718340.0
142,ETH,1513209600,461722,198391,12043495,364270,242663,12115796.7152578,108083782204950.0,1673213797330130.0
143,ETH,1513900800,565433,232659,13637276,428038,331476,14326116.858885,112812239422295.0,1695693587532810.0
144,ETH,1522627200,272345,51608,27160573,206094,110509,1422843.1149099,225498772822552.0,3176107286763070.0
145,ETH,1535587200,272927,48908,37829969,177227,99771,1426028.97973037,234628881384491.0,3427815944722110.0
146,ETH,1546387200,238591,43924,43321412,143451,97980,2741692.08843391,166284566135632.0,2541982182057760.0
147,ETH,1547769600,215722,46772,44016446,139732,85089,1767159.18378018,167181957829289.0,2554530524131420.0
148,ETH,1595894400,482982,125400,80460556,277047,236495,3235841.9260121,188161912438406.0,2513824691290190.0
149,ETH,1596499200,455335,118269,81246828,254732,223057,3347868.42036485,182555620595541.0,2423531524397390.0
150,ETH,1452902400,2662,263,38966,2470,1499,571216.783425056,537270349044.268,9191581621469.0
151,ETH,1467244800,19106,1661,322318,18074,7308,867842.400838285,3807078116210.57,53271701172814.0
152,ETH,1473379200,20191,1812,479141,18518,8874,616725.812505127,4796319426582.18,69652348269805.0
153,ETH,1477785600,15090,1625,599817,13338,7794,2428219.73044014,5348494421393.28,78688759203825.0
154,ETH,1493424000,39482,10083,1344846,34961,21045,14030764.5947217,22284306880838.4,337994835533282.0
155,ETH,1508630400,186909,41447,7836612,112703,116528,9254668.29894999,107508106573372.0,1449706698217360.0
156,ETH,1538697600,278701,42949,39330807,160903,108194,1478498.76433055,231204882558792.0,3202655454148680.0
157,ETH,1608336000,476143,103795,94451966,224085,252376,2963155.47428052,269293729917087.0,3580275561606440.0
158,ETH,1622505600,568811,117654,118617925,310663,263409,3365482.55876322,559826380988849.0,7488906607729120.0
159,ETH,1622851200,543292,97744,119067666,242140,293620,1712408.06252126,584693808082590.0,7753968823109190.0
160,ETH,1623283200,495839,94350,119538095,244688,243875,1853364.40426285,568256352715244.0,7614328193724470.0
161,ETH,1471737600,19692,1841,444598,18418,8496,3552708.91981742,4443461205883.72,63424331230475.0
162,ETH,1488844800,21801,3770,887504,19657,12226,10370310.0055713,11473019167132.4,169185179096956.0
